,SMAPE,MASE,OWA,MAE,RMSE
D1055,3.781115321262448,6.742531038206843,5.080270041655866,68.96033551897321,69.72778826638638
D1056,9.187289278537932,13.05051989293938,22.57523404165935,138.2715349469866,138.5290553935807
D1057,1.7146507558884174,2.616749071093838,3.266515314443793,28.949862932477654,29.93610650098618
D1058,3.287598027988368,5.230298014835839,5.958649100591053,47.43971261160713,48.135021576584606
D1059,3.062557459447279,5.882444990602174,13.690054777470774,38.54638323102678,38.84614499678893
D1060,1.046016106006253,1.7177054838848511,1.389650974424539,16.543090820312532,18.90244081080175
D1061,0.3977685186415116,0.5646459198723434,0.7547729174108933,5.906411132812488,6.967911865148325
D1062,2.3400460121185267,4.899981915958934,10.632931848280528,33.90435965401787,34.34094378996782
D1063,2.8388398762159084,4.809803408627279,5.13916654790352,46.09370535714288,47.00180920654211
D1064,1.5113185431125655,2.490344408286516,2.7822230438192443,24.98096958705357,26.191644923194797
D1065,10.912882338407169,23.31425336389729,27.206274671311817,1486.551618303571,1488.685604283302
D1066,3.5373474435359245,6.937736472145308,16.1330258568954,45.718250558035685,45.97353339545309
D1067,0.7499351634762788,1.161873665932993,1.383317956294725,11.039984654017855,12.917784977557892
D1068,1.01172088446222,2.2477353727732208,4.735508240956773,113.443568638393,122.31509449845883
D1069,7.169704069255158,12.530799075217224,18.03859149776904,870.037806919643,872.8286575636469
D1070,10.010476546282934,26.093798539884936,13.25340889873275,1386.427594866071,1389.0702149680797
D1071,1.094202583491716,2.523434939263466,2.083888065352236,153.1456054687499,166.33603136462065
D1072,7.2461914872273825,5.957348778069961,11.477772811139442,383.2196568080358,386.1700293738808
D1073,4.101644467777264,9.269667408893666,5.621923613513102,532.569614955357,537.8161922456411
D1074,10.28970505060016,14.13253240010444,17.222995903884815,955.4418387276788,959.887763853833
D1075,6.921413182098195,12.149209342967506,12.90201573706269,860.5761718750001,862.8271243304592
D1076,3.409694484470561,7.110991990314119,3.1317966741357552,472.5535016741072,502.6555712593727
D1077,2.534854967196983,5.123589479962393,4.63755989446504,343.2182338169644,352.3262419044406
D1078,19.68625270849977,13.70164732832543,18.774678464675965,289.0991259765625,289.9603676714572
D1079,17.402893869225938,12.218734612914083,18.080343209149376,226.4627772739955,227.38230296673413
D1080,10.495742152533406,9.686305340213975,8.967461003335318,159.3092892020089,163.20023305927512
D1081,4.379522040819122,4.027678169736019,4.40163855069108,89.8398517717634,97.67094834838184
D1082,16.03500183010628,13.095583209709172,14.824492431247496,225.7117550223214,226.57050635474636
D1083,16.678929785271304,7.513582059664211,21.09583802366688,163.46677176339284,163.77490080577016
D1084,16.324134761055337,7.364037582813582,18.751893718060835,191.442560686384,191.79312126874743
D1085,4.246882535453777,2.6961224043771628,4.536420642479946,53.45633998325895,54.98718965544502
D1086,12.199274679369678,9.399578435211192,19.288517312827192,169.05977504185265,169.69835418015762
D1087,15.192115628136555,13.279211602579643,16.32853591871644,242.5114177594866,243.76655061974117
D1088,7.884025302176815,9.23983086880832,6.330580274102187,193.47334612165176,196.8313486465486
D1089,9.52653101768093,7.540374772542916,10.968298095161352,145.4246519252232,146.86311200616498
D1090,15.605291019164138,13.016487344728215,13.980009728286504,239.0076789202008,239.9987778962221
D1091,5.256575924719355,3.1030394039985367,7.0682415658403865,69.20137276785715,70.35445358559724
D1092,13.740864035021572,11.920742607627131,20.050590593506836,203.1264592633928,203.9562315615257
D1093,9.337648571333306,5.126364064727013,10.007384851073285,115.83734619140624,116.4510108038749
D1094,16.186422277954364,11.844393137416334,15.1695748188422,230.13926374162943,230.85962857568455
D1095,18.231810177966715,29.63734236787345,27.286040359548338,2596.220591517857,2599.4935891557066
D1096,17.074693776636025,19.489124237972657,22.32786394198024,1737.362067522321,1739.7513818447865
D1097,15.471380570782234,11.451301951071452,25.548739260373544,829.929833984375,830.9563730367275
D1098,13.124228632245126,20.323013907238764,19.25280552770509,1396.702036830357,1400.0624755571648
D1099,12.073317772441053,8.583904801683769,6.930947549806251,616.8507324218748,632.506186549372
D1100,6.912906493225635,10.305669028108506,15.545977394797957,848.7482282366072,851.4364410058056
